feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Blautia_faecis	phenotype_group	IBS_M	1.69594941152189	0.483851835598638	305	68	0.000528343148296524	0.201163185693564
s__Vescimonas_coprocola	phenotype_group	IBS_M	1.44488819139422	0.447226167018202	305	36	0.00137611826278142	0.220637628132621
