pathway_model,metabolite,n_samples,spearman_rho,p_value,q_value_FDR,significant_p_0_05,significant_FDR_0_05
CORE_ASMO,ursocholate,193,0.25224096912457394,0.00040183274561259437,0.04915762940072259,True,True
CORE_EMP2,alanylleucine,193,-0.2516291864750815,0.00041554930624670646,0.04915762940072259,True,True
CORE_EMP_alt,guanosine,193,-0.25157076277976603,0.00041688164611490254,0.04915762940072259,True,True
CORE_ASDO,12-dehydrocholate,193,0.25098739632520134,0.00043040397530567367,0.04915762940072259,True,True
CORE_ASDO_var2,12-dehydrocholate,193,0.25098739632520134,0.00043040397530567367,0.04915762940072259,True,True
CORE_TAL,trimethylamine N-oxide,193,0.25088405873364483,0.00043284126765804514,0.04915762940072259,True,True
CORE_ASDO,N-acetylputrescine,193,0.250350928383841,0.00044561990049443007,0.04915762940072259,True,True
CORE_ASDO_var2,N-acetylputrescine,193,0.250350928383841,0.00044561990049443007,0.04915762940072259,True,True
CORE_TAL,N-acetyl-aspartyl-glutamate (NAAG),193,0.25010357223064505,0.00045166665706240815,0.04915762940072259,True,True
CORE_TAL,1-oleoyl-GPC (18:1),193,0.2499008877511839,0.0004566779214986708,0.04915762940072259,True,True
CORE_EMP_alt,coprostanol,193,0.24961941135623095,0.000463722683157487,0.04918188221958524,True,True
CORE_ASDO,hyocholate,193,0.24894142245702267,0.00048110631306271776,0.04956769614011886,True,True
CORE_ASDO_var2,hyocholate,193,0.24894142245702267,0.00048110631306271776,0.04956769614011886,True,True
CORE_ASMO,"3,4-dihydroxyphenylacetate",193,0.2477652349875407,0.0005127011455874604,0.0498326974819132,True,True
CORE_ASMO,androsterone sulfate,193,0.24750433433956107,0.0005199646385609414,0.0498326974819132,True,True
CORE_EMP2,2-isopropylmalate,193,-0.24729748677955238,0.0005257907847064573,0.0498326974819132,True,True
CORE_ASDO,biliverdin,193,0.24728196758157298,0.0005262303292707961,0.0498326974819132,True,True
CORE_ASDO_var2,biliverdin,193,0.24728196758157298,0.0005262303292707961,0.0498326974819132,True,True
CORE_ASMO,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",193,0.24688072165376415,0.0005377132908355828,0.0498326974819132,True,True
CORE_ED_var1,urate,193,-0.24603727269013598,0.0005626103200425456,0.0498326974819132,True,True
CORE_ED_var2,urate,193,-0.24603727269013598,0.0005626103200425456,0.0498326974819132,True,True
CORE_TAL,5-aminovalerate,193,0.2459319021235261,0.0005657944185311784,0.0498326974819132,True,True
CORE_ASMO,"N6,N6,N6-trimethyllysine",193,0.24573037097923506,0.0005719307274831797,0.0498326974819132,True,True
CORE_ASDO,glycolithocholate sulfate*,193,0.2455915911867049,0.0005761920388543997,0.0498326974819132,True,True
CORE_ASDO_var2,glycolithocholate sulfate*,193,0.2455915911867049,0.0005761920388543997,0.0498326974819132,True,True
CORE_ASDO,isoursodeoxycholate,193,0.24545502114260737,0.0005804141137660439,0.0498326974819132,True,True
CORE_ASDO_var2,isoursodeoxycholate,193,0.24545502114260737,0.0005804141137660439,0.0498326974819132,True,True
CORE_EMP2,ribonate,193,-0.24509240959350462,0.0005917633388965837,0.0502093788249666,True,False
CORE_EMP1,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",193,-0.2442098470766289,0.0006202481374949143,0.05201429729782933,True,False
CORE_ASMO,palmitoylcarnitine (C16),193,0.24398067793646397,0.0006278488269452923,0.05204650275780975,True,False
CORE_ASMO,creatine,193,0.24323633338235687,0.0006531330336169256,0.05254484214195075,True,False
CORE_EMP2,phenylalanylglycine,193,-0.24300084130121255,0.0006613258758745154,0.05254484214195075,True,False
CORE_ASDO,ursocholate,193,0.24295295486300844,0.0006630034158232831,0.05254484214195075,True,False
CORE_ASDO_var2,ursocholate,193,0.24295295486300844,0.0006630034158232831,0.05254484214195075,True,False
CORE_TAL,glycerophosphorylcholine (GPC),193,0.24249836653862397,0.0006791250295000254,0.053237496877762865,True,False
CORE_EMP2,glycerophosphoglycerol,193,-0.2414367555151968,0.0007181922368546676,0.054563465097785,True,False
CORE_ASDO,7-ketolithocholate,193,0.24142233965180168,0.0007187367144050991,0.054563465097785,True,False
CORE_ASDO_var2,7-ketolithocholate,193,0.24142233965180168,0.0007187367144050991,0.054563465097785,True,False
CORE_ASDO,"2,3-dimethylsuccinate",193,-0.2395825092464118,0.0007914332528606231,0.05773020089677672,True,False
CORE_ASDO_var2,"2,3-dimethylsuccinate",193,-0.2395825092464118,0.0007914332528606231,0.05773020089677672,True,False
CORE_ASMO,3-ketosphinganine,193,0.23933577458258815,0.0008016814174413883,0.05773020089677672,True,False
CORE_TAL,2-oleoylglycerol (18:1),193,0.23914953491528773,0.0008094976732497194,0.05773020089677672,True,False
CORE_TAL,2-hydroxybutyrate/2-hydroxyisobutyrate,193,0.238980126992156,0.0008166683894527216,0.05773020089677672,True,False
CORE_EMP2,valylglutamine,193,-0.23885776667913036,0.0008218839864429365,0.05773020089677672,True,False
CORE_TAL,N-acetylputrescine,193,0.23881374421050877,0.0008237679271640622,0.05773020089677672,True,False
CORE_ASMO,N-formylmethionine,193,0.23877509946391015,0.0008254250035489473,0.05773020089677672,True,False
CORE_TAL,glucose,193,0.2386110597310476,0.000832493190968494,0.05773020089677672,True,False
CORE_ASMO,ribonate,193,0.23836425993729257,0.0008432323632313318,0.05791801717737491,True,False
CORE_ASMO,phytosphingosine,193,0.23805502128404438,0.0008568683907217984,0.058299385225335947,True,False
CORE_ASMO,3-methylglutarate/2-methylglutarate,193,-0.23745557957253854,0.0008838805122055876,0.058312252767392735,True,False
CORE_EMP1,gamma-glutamylalanine,193,0.23718107538528216,0.0008965098186889158,0.058312252767392735,True,False
CORE_ASDO,malonate,193,0.23692841216300617,0.0009082807182293242,0.058312252767392735,True,False
CORE_ASDO_var2,malonate,193,0.23692841216300617,0.0009082807182293242,0.058312252767392735,True,False
CORE_ASMO,indolepropionate,193,0.23685623720429652,0.0009116691537358683,0.058312252767392735,True,False
CORE_TAL,N-acetylglycine,193,0.23665984347354815,0.0009209482777476351,0.058312252767392735,True,False
CORE_ASDO,N-acetylglucosaminylasparagine,193,0.23637955519333106,0.0009343416469303282,0.058312252767392735,True,False
CORE_ASDO_var2,N-acetylglucosaminylasparagine,193,0.23637955519333106,0.0009343416469303282,0.058312252767392735,True,False
CORE_TAL,1-palmitoyl-GPG (16:0)*,193,0.2363754801740056,0.0009345376823708332,0.058312252767392735,True,False
CORE_TAL,3-hydroxybutyrate (BHBA),193,0.23615766998712193,0.0009450709753331875,0.058312252767392735,True,False
CORE_TAL,3-ketosphinganine,193,0.2359217089513313,0.0009566050890659024,0.058312252767392735,True,False
CORE_ASDO,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",193,0.2356786674198492,0.0009686204208286174,0.058312252767392735,True,False
